"","runoff","soil_moisture","ETA"
"1989-01-01",0.000149703961417098,59.473309193497,0.526690806502962
"1989-01-02",0.000597633556839501,58.9121749952868,0.761057858745527
"1989-01-03",0.00134157838256264,58.0041342278427,0.908040767444156
"1989-01-04",0.00238004784546583,96.2521148354782,0.738994229462289
"1989-01-05",0.00372324186339236,149.634945043127,0.944726983442869
"1989-01-06",0.00543281644898953,170.755051480633,0.764248299179858
"1989-01-07",0.00757777559581729,173.812672023643,0.784431732058921
"1989-01-08",0.0101759982184578,172.981001481707,1.09654503548881
"1989-01-09",0.0132257792656242,171.443321120506,1.53768036120128
"1989-01-10",0.016424579772862,169.755991275221,1.68732984528449
"1989-01-11",0.0194793334773238,170.100454538932,1.09039351492522
"1989-01-12",0.0224836020124712,179.218126401583,1.18244473876164
"1989-01-13",0.0256342912120307,192.975793338668,0.898297083383753
"1989-01-14",0.0290470527712113,194.464666915848,0.859876981494125
"1989-01-15",0.0326815771154285,198.041007186965,1.0656359920742
"1989-01-16",0.0364918249883867,199.838101669757,0.803858334638074
"1989-01-17",0.0404728621539816,198.519414321481,1.31868734827635
"1989-01-18",0.0446227963659086,197.69776313493,0.97403898851832
"1989-01-19",0.0490924537789106,196.444646202512,1.25311693241842
"1989-01-20",0.0538587208735288,194.672182341184,1.77246386132798
"1989-01-21",0.0583773761999208,194.100702830361,1.43559327975796
"1989-01-22",0.0626955844309859,194.114818652326,1.24812057078856
"1989-01-23",0.0666711917979037,192.043730107273,2.07108854505279
"1989-01-24",0.0701671355879044,191.058206295004,1.86615180413647
"1989-01-25",0.0733277560847813,200.12581600631,1.08767118197929
"1989-01-26",0.0763722141384062,203.77509640907,1.00984313241547
"1989-01-27",0.0794025852287231,203.767452632563,1.16972041737303
"1989-01-28",0.082490239757139,204.766474677716,1.3979419063165
"1989-01-29",0.0861503754446866,204.90344953972,1.15742834338782
"1989-01-30",0.0897412654307954,204.375977155183,0.958337321984764
"1989-01-31",0.0944967323112063,203.410290226479,0.965686928704451
"1989-02-01",0.0992619737682487,202.129142092757,1.28114813372147
"1989-02-02",0.103857069714603,201.326264839006,1.0980359228243
"1989-02-03",0.108166975376909,200.391678198768,1.00892740277599
"1989-02-04",0.11198799396554,199.358684375511,1.25790491477376
"1989-02-05",0.114667221748817,198.22728127567,1.13140309984061
"1989-02-06",0.114768511921246,197.173007396013,1.05427387965663
"1989-02-07",0.114321334995077,198.364025802549,1.19732612286633
"1989-02-08",0.113598843929138,203.418453726683,0.896443422186914
"1989-02-09",0.114034200030128,203.493708219674,1.01801425301125
"1989-02-10",0.115102499304648,201.611624814016,1.88208340565859
"1989-02-11",0.11646048086646,199.499433967482,2.11219084653395
"1989-02-12",0.118201888221773,197.190355329011,2.30907863847111
"1989-02-13",0.121424008852166,194.685123897906,2.50523143110489
"1989-02-14",0.125809126135631,193.428160766903,1.25696313100302
"1989-02-15",0.129051792449507,192.088558389755,1.33960237714775
"1989-02-16",0.131010455842766,189.529499430693,2.55905895906242
"1989-02-17",0.131453752560533,189.393712110952,1.19414447333667
"1989-02-18",0.131307892173587,188.195845909646,1.68676469036065
"1989-02-19",0.130590843263162,187.041401874291,1.15444403535451
"1989-02-20",0.129311978697634,185.865321707652,1.17608016663931
"1989-02-21",0.127479243466604,184.386384034107,1.47893767354456
"1989-02-22",0.126135323254779,182.254147488802,2.13223654530493
"1989-02-23",0.12555527870643,180.031364215067,2.22278327373574
"1989-02-24",0.124990656902021,178.200586404378,1.83077781068903
"1989-02-25",0.124417814686876,175.054448084938,3.14613831943953
"1989-02-26",0.123808848830519,172.153931889436,2.90051619550253
"1989-02-27",0.123160676968095,169.881125389498,2.27280649993741
"1989-02-28",0.122473582434141,166.969347836531,2.91177755296663
"1989-03-01",0.121747834660945,164.330450985645,2.63889685088672
"1989-03-02",0.120859641297383,161.071993526137,3.25845745950823
"1989-03-03",0.119686066913375,158.600778338271,2.47121518786555
"1989-03-04",0.118244007472029,156.39533276807,2.20544557020118
"1989-03-05",0.116557050112847,153.336940306499,3.0583924615705
"1989-03-06",0.114633674331863,150.98385096646,2.3530893400396
"1989-03-07",0.112475492793556,148.166667614502,2.81718335195737
"1989-03-08",0.110084130881025,145.523605454118,2.64306216038428
"1989-03-09",0.107973450130809,142.808573307674,2.71503214644364
"1989-03-10",0.107414122245153,139.96634141848,2.84223188919485
"1989-03-11",0.107106786001112,137.787709590032,2.1786318284473
"1989-03-12",0.107049697050676,134.402068664733,3.3856409252991
"1989-03-13",0.107241123120643,132.781162143086,1.62090652164745
"1989-03-14",0.10767934392903,130.087396287054,2.69376585603221
"1989-03-15",0.10836265110207,126.925960327528,3.16143595952516
"1989-03-16",0.10929421071441,128.336255455584,2.60010260474965
"1989-03-17",0.109462090803387,134.245018494969,1.41736933570928
"1989-03-18",0.10877290234499,142.777906410704,1.172308679925
"1989-03-19",0.108167153342639,148.503351750633,2.13863265721322
"1989-03-20",0.107662377188351,145.977226627194,2.52612512343952
"1989-03-21",0.107258562186631,144.594469441972,1.66892372447549
"1989-03-22",0.107156092005011,173.646512868902,1.25864497973801
"1989-03-23",0.107428876928846,172.212364004019,1.43414886488285
"1989-03-24",0.108092337760027,174.110518894871,1.83378407309049
"1989-03-25",0.109302206560908,176.556326897571,1.78702276067693
"1989-03-26",0.111039515853066,174.934633803618,1.70896340556465
"1989-03-27",0.113232995372418,171.290687093262,3.6439467103556
"1989-03-28",0.115843262699514,167.65947731123,3.63120978203235
"1989-03-29",0.118350185482082,165.954831394235,1.70464591699466
